ID,statement
nl_1_0001000,A vaccination certificate should be able to be requested by organizers of events upon entry.
nl_2_0001000,More money should be spent on defense by the Netherlands.
nl_3_0001000,All parents should have free childcare for at least three days a week.
nl_4_0001000,The European Union (EU) should be exited by the Netherlands.
nl_5_0001000,A tax per kilometer driven for motorists should be imposed instead of the tax on car ownership.
nl_6_0001000,"During the upcoming New Year's Eve, decorative fireworks should be allowed to be set off again."
nl_7_0001000,An additional tax should be imposed on purchasing meat.
nl_8_0001000,Public broadcasting should be given less funding.
nl_9_0001000,A national healthcare fund should be established instead of the existing health insurance companies for everyone.
nl_10_0001000,The ban on face-covering clothing should be abolished by the government.
nl_11_0001000,"Where new residential areas are built should be decided by the national government, rather than provinces and municipalities."
nl_12_0001000,The VAT on cultural activities should be reduced by the government to 5 percent.
nl_13_0001000,A new nuclear power plant should be built by The Netherlands.
nl_14_0001000,
nl_15_0001000,"The same tax benefits should be received by households with two partners, one of whom works, as by households with two working partners."
nl_16_0001000,An apology should be apologized for the historical slave trade by the Dutch government.
nl_17_0001000,The opportunity should be had by citizens to block laws passed by parliament through a referendum.
nl_18_0001000,As much as secondary school teachers should be earned by primary school teachers.
nl_19_0001000,
nl_20_0001000,An additional flight tax for short-distance flights should be introduced by the Netherlands.
nl_21_0001000,Integration should be completed by asylum seekers with a temporary residence permit before getting a rental home.
nl_22_0001000,Coffee shops should legalize both the purchase and sale of soft drugs.
nl_23_0001000,Dutch-language education should be made more frequently mandatory at universities and colleges by the government.
nl_24_0001000,
nl_25_0001000,An increase in welfare benefits should no longer automatically be the result of an increase in minimum wages.
nl_26_0001000,
nl_27_0001000,No new restrictions should be imposed on the activities of farming businesses.
nl_28_0001000,"Someone should establish a middle school so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_0001000,More refugees should be accepted by the Netherlands than it currently does.
nl_30_0001000,The choice of whether to wear a face mask should always be given to people by people.
es_1_0001000,
es_2_0001000,
es_3_0001000,
es_4_0001000,
es_5_0001000,Companies should find it easier to fire workers.
es_6_0001000,Measures should be taken by the state to redistribute wealth from the rich to the poor.
es_7_0001000,"Spending on public health care must be increased by the government, even if this means increasing taxes."
es_8_0001000,
es_9_0001000,
es_10_0001000,As little as possible should be intervened in the economy by Governments.
es_11_0001000,
es_12_0001000,Human action is solely attributable to climate change.
es_13_0001000,Irrigated agricultural areas should be increased by the future Spanish government by means of large water transfers.
es_14_0001000,More sovereignty must be recovered by us to better defend Spain's interests in Europe.
es_15_0001000,The strengthening of NATO in Europe should be promoted by the Spanish government.
es_16_0001000,The best way to solve the conflict in Catalonia is for their future to be voted on in a referendum by its citizens.
es_17_0001000,The State is weakened by negotiating with pro-independence supporters.
es_18_0001000,Spain must deepen its territorial decentralization.
es_19_0001000,The Constitution must recognize the right to self-determination.
es_20_0001000,Spanish is endangered by the policies of linguistic immersion in the native language of bilingual Autonomous Communities.
es_21_0001000,The Law of Democratic Memory passed during this legislature should be repealed.
es_22_0001000,More tolerance with illegal migration should be shown by Spain.
es_23_0001000,Their own health services should be paid for by immigrants.
es_24_0001000,Some authority must regulate housing prices to ensure access for all people.
de_1_0001000,All highways should have a general speed limit applied.
de_2_0001000,Its defense spending is to be increased by Germany.
de_3_0001000,The government should allow young people over the age of 16 to vote in Bundestag elections.
de_4_0001000,
de_5_0001000,Law should more strictly limit the ability of landlords to increase housing rents.
de_6_0001000,Patents are to continue to protect Covid-19 vaccines.
de_7_0001000,
de_8_0001000,The statutory pension scheme is to require all employed persons to be insured in the statutory pension scheme.
de_9_0001000,
de_10_0001000,
de_11_0001000,"The traditional family of father, mother and children should be promoted more strongly than other living arrangements."
de_12_0001000,Companies should continue to permit donations to political parties.
de_13_0001000,BAföG should be received by students regardless of their parents' income.
de_14_0001000,"In Germany, having a second citizenship should generally be possible in addition to the German one."
de_15_0001000,Linguistic account of different gender identities is to be taken by Federal authorities in their publications.
de_16_0001000,
de_17_0001000,The solidarity surcharge should be abolished completely.
de_18_0001000,Headscarves are to be allowed to be worn by female civil servants while on duty.
de_19_0001000,New cars with combustion engines should also be registered in the long term.
de_20_0001000,More responsibilities in school policy are to be given to the federal government.
de_21_0001000,More financial support is to be provided by the federal government for projects to combat anti-Semitism.
de_22_0001000,The government should not allow Chinese companies to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_0001000,Church tax should continue to be collected by the state for religious communities.
de_24_0001000,The controlled sale of cannabis should be generally permitted by [agent].
de_25_0001000,The European Union is to be left by Germany.
de_26_0001000,The state is to have to fill the lists of the parties for the elections to the German Bundestag alternately by women and men.
de_27_0001000,Hospitals are to continue to charge inpatient treatment on the basis of a flat rate per case.
de_28_0001000,
de_29_0001000,
de_30_0001000,Tax breaks should continue to be received by married couples without children.
de_31_0001000,
de_32_0001000,The state should be able to recognize Islamic associations as religious communities.
de_33_0001000,The government is to raise the government-set price for CO2 emissions from heating and driving more than planned.
de_34_0001000,The debt brake in the Basic Law should be retained by the legislative body.
de_35_0001000,Asylum should continue to be granted only to politically persecuted persons.
de_36_0001000,
de_37_0001000,The government should tax air traffic more heavily.
de_38_0001000,Whether to allow their employees to work from home is to be decided by companies for themselves.
pl_1_0001000,Less influence on Polish domestic policy should be had by the European Union.
pl_2_0001000,The government should increase social transfers to reduce the effects of inflation on citizens.
pl_3_0001000,Private visits to specialists should be financed by the state if the waiting time at a public facility exceeds three months.
pl_4_0001000,A free nursery place should be provided by the state for every child.
pl_5_0001000,More freedom should be given to schools to choose the content covered in the curriculum.
pl_6_0001000,Low-rent apartments should be built for rent by the state.
pl_7_0001000,The government should increase taxes for top earners.
pl_8_0001000,"The government should introduce early retirement for those who have worked a certain number of years, regardless of their age."
pl_9_0001000,
pl_10_0001000,The same health premium should be paid by all entrepreneurs regardless of income.
pl_11_0001000,
pl_12_0001000,The migrant relocation solutions adopted by the European Union should be adopted by Poland.
pl_13_0001000,The independence of the judiciary from parliament and the government should be strengthened.
pl_14_0001000,
pl_15_0001000,The central government should increase the powers of local governments at the expense of the central government.
pl_16_0001000,Coal mining should be moved away from by Poland no later than 2040.
pl_17_0001000,Poland should block grain imports from Ukraine.
pl_18_0001000,The basis of state social policy should be Christian values.
pl_19_0001000,The state budget should limit public media funding.
pl_20_0001000,The secret services should limit the powers of the secret services to track the activities of citizens on the Internet.
hu_1_0001000,Hungary's sovereignty is threatened by the EU's rule of law mechanism.
hu_2_0001000,Hungarian economic interests should guide Hungarian foreign policy solely.
hu_3_0001000,Whether to remain part of the EU should be decided by Hungary by referendum.
hu_4_0001000,"Environmental influences can influence gender identity (e.g. media content, sensitising activities)."
hu_5_0001000,It is needed that stronger state regulation of the work of NGOs supported by foreign organisations be implemented.
hu_6_0001000,The European Public Prosecutor's Office should be joined by Hungary.
hu_7_0001000,Stricter regulation of interception software (e.g. Pegasus) should be implemented (e.g. subject to judicial authorisation).
hu_8_0001000,More effective law enforcement needs the disclosure of the origin of criminals.
hu_9_0001000,The government should raise the age of compulsory schooling back to 18.
hu_10_0001000,The government should increase education spending to at least the OECD average of 5.2 per cent (GDP).
hu_11_0001000,
hu_12_0001000,Changing the university model (reorganisation into a trust) has reduced political influence.
hu_13_0001000,Only men and women should be allowed to marry.
hu_14_0001000,A closer ratio of men to women should be strived for by Parties when drawing up lists.
hu_15_0001000,Targeted measures should be taken by the state to promote equal participation of fathers and mothers in child-rearing.
hu_16_0001000,"The Istanbul Convention should be ratified by the Hungarian government, which combats violence against women and domestic violence."
hu_17_0001000,
hu_18_0001000,
hu_19_0001000,The contribution of the wealthier to the public purse should be increased (abolition of the one-band tax).
hu_20_0001000,People are helped by public employment to re-enter the labour market.
hu_21_0001000,
hu_22_0001000,The state does not need to regulate the rental housing market.
hu_23_0001000,The current three-month unemployment benefit should be extended.
hu_24_0001000,
hu_25_0001000,"It is right that the school entry maturity of children over the age of six is decided by the Education Office, rather than by parents and kindergarten teachers."
hu_28_0001000,Hungary should legalise the use of medical cannabis in Hungary.
hu_29_0001000,An independent Ministry of Health should be established.
hu_30_0001000,The people should directly elect the President of the Hungarian Republic.
hu_31_0001000,"Someone should need comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner-take-all compensation, extension of postal voting)."
hu_32_0001000,
hu_33_0001000,
hu_34_0001000,The government should make internet access free for all.
hu_36_0001000,The government should tax polluting companies more heavily.
hu_37_0001000,"In larger cities, various measures should limit car traffic through P+R parking, construction of cycle paths, and improvement of public transport."
hu_38_0001000,A broad social dialogue is needed by the redevelopment of urban green spaces (e.g. the Liget project in Budapest).
hu_39_0001000,
hu_40_0001000,Someone should introduce an animal rights commissioner.
it_1_0001000,
it_2_0001000,The Eurozone should be left by Italy.
it_3_0001000,A common foreign policy should be had by the European Union.
it_4_0001000,
it_5_0001000,European economic integration has gone too far: more autonomy should be regained by member states.
it_6_0001000,
it_7_0001000,
it_8_0001000,"Italian citizenship (ius scholae) should be granted to children, born in Italy to foreign citizens and who have completed schooling."
it_9_0001000,"The government should grant more civil rights to homosexual, bisexual, transgender (LGBT+) people."
it_10_0001000,
it_11_0001000,The government should allow recreational use of marijuana/cannabis.
it_12_0001000,
it_13_0001000,One's wealth should be taxed with a heritage tax.
it_14_0001000,Employees should be able to be fired more easily by businesses.
it_15_0001000,"The state should manage health care only, and private individuals should not manage it."
it_16_0001000,"The Italian economy would be benefited by the introduction of a single income tax rate (""flat tax"")."
it_17_0001000,An hourly minimum wage should be introduced.
it_18_0001000,
it_19_0001000,Private individuals should time-limit beach concessions.
it_20_0001000,Promotion of the use of nuclear power plants for the purpose of producing energy should be done.
it_21_0001000,
it_22_0001000,More incinerators/thermal power plants should be built by Italy.
it_23_0001000,Finding more energy resources requires drilling.
it_24_0001000,
it_25_0001000,Its foreign policy should be kept aligned with the choices of the Atlantic Alliance (NATO) by Italy.
it_26_0001000,
it_27_0001000,Arms and war material should be stopped from being sent to the Ukrainian government by Italy.
it_28_0001000,The regional level should retain the taxes collected at the regional level fully in the region itself.
it_29_0001000,
it_30_0001000,
ch_18_0001000,
ch_19_0001000,More funding should be allocated by the federal government for health insurance premium subsidies.
ch_20_0001000,"For married couples, the limit is currently applied to the pension at 150% of the maximum individual AHV pension (capping). Someone should eliminate this limit."
ch_21_0001000,"As part of the reform of the BVG (occupational pension plan), the BVG is to reduce pensions (lowering the minimum conversion rate from 6.8% to 6%)."
ch_22_0001000,Paid parental leave should be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave.
ch_23_0001000,More financial support for public housing construction should be provided by the federal government.
ch_24_0001000,The Swiss vaccination plan should introduce compulsory vaccination of children based on the Swiss vaccination plan.
ch_25_0001000,A tax on foods containing sugar (sugar tax) should be introduced.
ch_26_0001000,"More should be contributed to health care costs (e.g., increase the minimum deductible) by insured persons."
ch_27_0001000,The Federal Council should limit its ability to restrict private and economic life in the event of a pandemic more.
ch_28_0001000,
ch_29_0001000,The Swiss integrated schooling concept should teach children with learning difficulties or disabilities in regular classes.
ch_30_0001000,The requirements for the high school should be raised by the federal government.
ch_31_0001000,"The state should commit more to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)."
ch_32_0001000,"The conditions for naturalization should be relaxed (e.g., shorter residence period)."
ch_33_0001000,The authorities should allow more qualified workers from non-EU/EFTA countries to work in Switzerland (increase third-country quota).
ch_34_0001000,
ch_35_0001000,The right to vote and stand for election at the municipal level should be granted to foreign nationals who have lived in Switzerland for at least ten years.
ch_36_0001000,Cannabis use should be legalized.
ch_37_0001000,The authorities should allow doctors to administer direct active euthanasia.
ch_38_0001000,
ch_39_0001000,The same rights as heterosexual couples in all areas should be given to same-sex couples by same-sex couples.
ch_40_0001000,Tax cuts should be implemented at the federal level over the next four years.
ch_41_0001000,
ch_42_0001000,A national inheritance tax should be introduced on all inheritances over one million Swiss francs.
ch_43_0001000,Fiscal equalization should further reduce the differences between cantons with high and low financial capacity.
ch_44_0001000,"The government should introduce a minimum wage of CHF 4,000 for all full-time employees."
ch_45_0001000,"Stricter regulations should be imposed on the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)."
ch_46_0001000,Private households should have the freedom to choose their electricity supplier (complete liberalization of the electricity market).
ch_47_0001000,
ch_48_0001000,
ch_49_0001000,
ch_50_0001000,The registration of new passenger cars with internal combustion engines should be banned by Switzerland starting in 2035.
ch_51_0001000,"To achieve climate targets, incentives and target agreements should be relied on exclusively, rather than bans and restrictions."
ch_52_0001000,It's fair that environmental and landscape protection rules are relaxed to allow for the development of renewable energy.
ch_53_0001000,
ch_54_0001000,A comprehensive public service offering should be guaranteed by the state also in rural regions.
ch_55_0001000,
ch_56_0001000,
ch_57_0001000,Farmers should only be granted direct payments with proof of ecological performance.
ch_58_0001000,
ch_59_0001000,The dedication of 30% of Switzerland's land area to preserving biodiversity should be done.
ch_0_0001000,A ban should be imposed on single-use plastic and non-recyclable plastics.
ch_1_0001000,"The government should implement measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)."
ch_2_0001000,
ch_3_0001000,Additional powers should be given to the federal government in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons.
ch_4_0001000,"Stronger regulation should be imposed on the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)."
ch_5_0001000,"A popular initiative should aim to reduce television and radio fees (CHF 200 per household, exemption for businesses)."
ch_6_0001000,The government should lower the voting age to 16.
ch_7_0001000,
ch_8_0001000,"The target number of soldiers should be expanded to at least 120,000 by the army."
ch_9_0001000,Cooperation with NATO should be expanded by the Swiss Armed Forces.
ch_10_0001000,"The Federal Council should allow other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)."
ch_11_0001000,
ch_12_0001000,The Schengen agreement with the EU and more security checks directly on the border should be terminated and reintroduced by Switzerland.
ch_13_0001000,
ch_14_0001000,A comprehensive free trade agreement (including agriculture) with the USA should be strived for by Switzerland.
ch_15_0001000,The government should oblige companies to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards.
ch_16_0001000,The Bilateral Agreements with the EU and a free trade agreement should be terminated and sought without the free movement of persons by Switzerland.
ch_17_0001000,A strict interpretation of neutrality (renounce economic sanctions to a large extent) should be returned to by Switzerland.
