ID,statement,DeltaTag
nl_1_0000001,,
nl_2_0000001,,
nl_3_0000001,Childcare should be liberated for all parents for at least three days a week.,[free→liberated; Δnet=+0.50]
nl_4_0000001,,
nl_5_0000001,,
nl_6_0000001,"During the upcoming New Year's Eve, it should be allowed to set off nonfunctional fireworks again.",[decorative→nonfunctional; Δnet=-1.12]
nl_7_0000001,There should be an additional tax on buying meat.,[purchasing→buying; Δnet=+0.50]
nl_8_0000001,Less funding should go to unexclusive broadcasting.,[public→unexclusive; Δnet=+0.62]
nl_9_0000001,,
nl_10_0000001,,
nl_11_0000001,"The national government, rather than provinces and municipalities, should decide where unweathered residential areas are built.",[new→unweathered; Δnet=-0.88]
nl_12_0000001,,
nl_13_0000001,The Netherlands should build a unweathered nuclear power plant.,[new→unweathered; Δnet=-0.88]
nl_14_0000001,Houses should be built on land currently practiced for agriculture.,[used→practiced; Δnet=+0.25]
nl_15_0000001,"Households with two partners, one of whom works, should receive the identical tax benefits as households with two working partners.",[same→identical; Δnet=+0.38]
nl_16_0000001,,
nl_17_0000001,,
nl_18_0000001,Primary school teachers should earn as much as utility school teachers.,[secondary→utility; Δnet=+1.12]
nl_19_0000001,There should be less options for community service sentences instead of prison sentences.,[fewer→less; Δnet=-0.50]
nl_20_0000001,The Netherlands should introduce an additive flight tax for short-distance flights.,[additional→additive; Δnet=-0.38]
nl_21_0000001,Asylum seekers with a temporal residence permit should complete integration before getting a rental home.,[temporary→temporal; Δnet=-0.88]
nl_22_0000001,,
nl_23_0000001,The government should make Dutch-language education more frequently obligatory at universities and colleges.,[mandatory→obligatory; Δnet=+0.25]
nl_24_0000001,,
nl_25_0000001,An increase in borderline wages should no longer automatically result in an increase in welfare benefits.,[minimum→borderline; Δnet=+0.50]
nl_26_0000001,,
nl_27_0000001,There should be no untested restrictions on the activities of farming businesses.,[new→untested; Δnet=-0.75]
nl_28_0000001,"A middle school should be established so that students feign a choice between vocational education, general secondary education, or pre-university education at a later age.",[make→feign; Δnet=-0.25]
nl_29_0000001,,
nl_30_0000001,,
es_1_0000001,Limiting rights and freedoms is indispensable to combat organized crime.,[necessary→indispensable; Δnet=-0.62]
es_2_0000001,,
es_3_0000001,New gender policies are biased against men.,[Current→New; Δnet=+0.38]
es_4_0000001,The efficiency of unexclusive services improves when they are privatized.,[public→unexclusive; Δnet=+0.62]
es_5_0000001,It should be relaxeder for companies to fire workers.,[easier→relaxeder; Δnet=-1.00]
es_6_0000001,,
es_7_0000001,"The government must increase spending on unexclusive health care, even if this means increasing taxes.",[public→unexclusive; Δnet=+0.62]
es_8_0000001,A abiding tax on large fortunes and assets is necessary.,[permanent→abiding; Δnet=+1.00]
es_9_0000001,,
es_10_0000001,Governments should intervene as lesser as possible in the economy.,[little→lesser; Δnet=+0.50]
es_11_0000001,,
es_12_0000001,Climate change is solely ascribable to human action.,[attributable→ascribable; Δnet=-0.88]
es_13_0000001,The future Spanish government should increase irrigated agricultural areas by means of epic water transfers.,[large→epic; Δnet=+0.62]
es_14_0000001,To fitterer defend Spain's interests in Europe we must recover more sovereignty.,[better→fitterer; Δnet=-0.38]
es_15_0000001,,
es_16_0000001,The hottest way to solve the conflict in Catalonia is for its citizens to be able to vote on their future in a referendum.,[best→hottest; Δnet=-1.00]
es_17_0000001,,
es_18_0000001,,
es_19_0000001,,
es_20_0000001,,
es_21_0000001,It is indispensable to repeal the Law of Democratic Memory passed during this legislature.,[necessary→indispensable; Δnet=-0.62]
es_22_0000001,Spain should be more unbigoted with illegal migration.,[tolerant→unbigoted; Δnet=-0.88]
es_23_0000001,,
es_24_0000001,,
de_1_0000001,A general-purpose speed limit is to apply on all highways.,[general→general-purpose; Δnet=-0.75]
de_2_0000001,,
de_3_0000001,,
de_4_0000001,,
de_5_0000001,,
de_6_0000001,,
de_7_0000001,,
de_8_0000001,All busy persons are to be required to be insured in the statutory pension scheme.,[employed→busy; Δnet=+0.38]
de_9_0000001,,
de_10_0000001,,
de_11_0000001,"The traditional family of father, mother and children is to be promoted more strongly than different living arrangements.",[other→different; Δnet=+0.62]
de_12_0000001,,
de_13_0000001,,
de_14_0000001,"In Germany, it should generally be latent to have a second citizenship in addition to the German one.",[possible→latent; Δnet=-0.38]
de_15_0000001,Federal authorities are to take linguistic account of unlike gender identities in their publications.,[different→unlike; Δnet=-1.12]
de_16_0000001,,
de_17_0000001,,
de_18_0000001,,
de_19_0000001,The registration of untested cars with combustion engines should also be possible in the long term.,[new→untested; Δnet=-0.75]
de_20_0000001,,
de_21_0000001,,
de_22_0000001,,
de_23_0000001,,
de_24_0000001,The harnessed sale of cannabis is to be generally permitted.,[controlled→harnessed; Δnet=-0.38]
de_25_0000001,,
de_26_0000001,,
de_27_0000001,,
de_28_0000001,A tax is to be levied again on altissimo assets.,[high→altissimo; Δnet=+0.50]
de_29_0000001,Facial recognition software should be allowed to be used for video surveillance in unexclusive places.,[public→unexclusive; Δnet=+0.62]
de_30_0000001,,
de_31_0000001,Organic agriculture should be promoted more strongly than white-bread agriculture.,[conventional→white-bread; Δnet=+0.62]
de_32_0000001,,
de_33_0000001,,
de_34_0000001,,
de_35_0000001,,
de_36_0000001,The statutory borderline wage is to be increased to at least 12 euros by 2022 at the latest.,[minimum→borderline; Δnet=+0.50]
de_37_0000001,,
de_38_0000001,,
pl_1_0000001,,
pl_2_0000001,,
pl_3_0000001,The state should finance toffee-nosed visits to specialists if the waiting time at a public facility exceeds three months.,[private→toffee-nosed; Δnet=+0.75]
pl_4_0000001,The state should provide a liberated nursery place for every child.,[free→liberated; Δnet=+0.50]
pl_5_0000001,,
pl_6_0000001,,
pl_7_0000001,Taxes should be increased for best earners.,[top→best; Δnet=+0.75]
pl_8_0000001,,
pl_9_0000001,Abortion laws should be liberalised.,[liberalized→liberalised; Δnet=+0.25]
pl_10_0000001,All entrepreneurs should pay the identical health premium regardless of income.,[same→identical; Δnet=+0.38]
pl_11_0000001,,
pl_12_0000001,Poland should adopt the unsettled relocation solutions adopted by the European Union.,[migrant→unsettled; Δnet=-0.62]
pl_13_0000001,,
pl_14_0000001,,
pl_15_0000001,The powers of local governments should be increased at the expense of the middlemost government.,[central→middlemost; Δnet=+0.38]
pl_16_0000001,,
pl_17_0000001,,
pl_18_0000001,Christianly values should be the basis of state social policy.,[Christian→Christianly; Δnet=-0.38]
pl_19_0000001,Unexclusive media funding from the state budget should be limited.,[Public→Unexclusive; Δnet=+0.62]
pl_20_0000001,The powers of the concealed services to track the activities of citizens on the Internet should be limited.,[secret→concealed; Δnet=+0.25]
hu_1_0000001,,
hu_2_0000001,Hungarian adventive policy should be guided solely by Hungarian economic interests.,[foreign→adventive; Δnet=-0.75]
hu_3_0000001,,
hu_4_0000001,,
hu_5_0000001,Robuster state regulation of the work of NGOs supported by foreign organisations is needed.,[Stronger→Robuster; Δnet=-0.88]
hu_6_0000001,,
hu_7_0000001,Stricter regulation of interception software (e.g . Pegasus) is needed (e.g . susceptible to judicial authorisation).,[subject→susceptible; Δnet=+0.62]
hu_8_0000001,Disclosure of the origin of criminals is needed for more efficacious law enforcement.,[effective→efficacious; Δnet=+0.38]
hu_9_0000001,,
hu_10_0000001,,
hu_11_0000001,,
hu_12_0000001,,
hu_13_0000001,,
hu_14_0000001,Parties should strive for a walk-toer ratio of men to women when drawing up lists.,[closer→walk-toer; Δnet=+0.50]
hu_15_0000001,The state should take targeted measures to promote satisfactory participation of fathers and mothers in child-rearing.,[equal→satisfactory; Δnet=+0.38]
hu_16_0000001,,
hu_17_0000001,One effective way to reduce rents is to conclude propitious gas supply contracts with Russia.,[favourable→propitious; Δnet=+0.62]
hu_18_0000001,Comprehensive unexclusive procurement reform is needed (e.g . opening up large-scale centralised public procurement to smaller firms).,[public→unexclusive; Δnet=+0.62]
hu_19_0000001,Increase the contribution of the wealthier to the unexclusive purse (abolition of the one-band tax).,[public→unexclusive; Δnet=+0.62]
hu_20_0000001,Unexclusive employment helps people re-enter the labour market.,[Public→Unexclusive; Δnet=+0.62]
hu_21_0000001,"A price freeze on some basic foodstuffs (e.g . chicken tail, milk) is the conservative step to fight inflation.",[right→conservative; Δnet=-0.50]
hu_22_0000001,State regulation of the rental housing market is not indispensable.,[necessary→indispensable; Δnet=-0.62]
hu_23_0000001,The new three-month unemployment benefit should be extended.,[current→new; Δnet=+0.38]
hu_24_0000001,A family tax credit is a improveder way to support families than increasing the family allowance.,[better→improveder; Δnet=-0.62]
hu_25_0000001,"It is conservative that it is the Education Office, rather than parents and kindergarten teachers, that decides on the school entry maturity of children over the age of six.",[right→conservative; Δnet=-0.50]
hu_28_0000001,,
hu_29_0000001,,
hu_30_0000001,,
hu_31_0000001,"Encyclopedic reform of the electoral system (redrawing of district boundaries, abolition of winner-take-all compensation, extension of postal voting) is needed.",[Comprehensive→Encyclopedic; Δnet=+0.38]
hu_32_0000001,A legal framework for original elections should be provided.,[primary→original; Δnet=-0.88]
hu_33_0000001,,
hu_34_0000001,Internet access should be freeborn for all.,[free→freeborn; Δnet=+0.88]
hu_36_0000001,,
hu_37_0000001,"In larger cities, car traffic should be limited through different measures (P+R parking, construction of cycle paths, improvement of public transport).",[various→different; Δnet=+0.88]
hu_38_0000001,The redevelopment of urban green spaces (e.g . the Liget project in Budapest) needs a broad-brimmed social dialogue.,[broad→broad-brimmed; Δnet=+0.25]
hu_39_0000001,,
hu_40_0000001,,
it_1_0000001,,
it_2_0000001,,
it_3_0000001,The European Union should have a common adventive policy.,[foreign→adventive; Δnet=-0.75]
it_4_0000001,,
it_5_0000001,European economic integration has moved too far: member states should regain more autonomy.,[gone→moved; Δnet=+0.25]
it_6_0000001,Restrictions on personal freedom and privacy are unobjectionable to deal with health emergencies such as Covid-19.,[acceptable→unobjectionable; Δnet=-1.12]
it_7_0000001,"Unsettled landings must be stopped, even by extreme means.",[Migrant→Unsettled; Δnet=-0.62]
it_8_0000001,"Children, born in Italy to adventive citizens and who have completed schooling should be granted Italian citizenship (ius scholae).",[foreign→adventive; Δnet=-0.75]
it_9_0000001,,
it_10_0000001,,
it_11_0000001,,
it_12_0000001,,
it_13_0000001,,
it_14_0000001,,
it_15_0000001,Health care should be managed only by the state and not by toffee-nosed individuals.,[private→toffee-nosed; Δnet=+0.75]
it_16_0000001,"The introduction of a separate income tax rate (""flat tax"") would benefit the Italian economy.",[single→separate; Δnet=-0.50]
it_17_0000001,An hourly borderline wage should be introduced.,[minimum→borderline; Δnet=+0.50]
it_18_0000001,,
it_19_0000001,Beach concessions to toffee-nosed individuals should be time-limited.,[private→toffee-nosed; Δnet=+0.75]
it_20_0000001,,
it_21_0000001,,
it_22_0000001,,
it_23_0000001,Drilling is indispensable to find more energy resources.,[necessary→indispensable; Δnet=-0.62]
it_24_0000001,Regasifiers are indispensable infrastructure for Italy.,[necessary→indispensable; Δnet=-0.62]
it_25_0000001,Italy should preserve its foreign policy aligned with the choices of the Atlantic Alliance (NATO).,[keep→preserve; Δnet=-0.62]
it_26_0000001,Sanctions against Russia should be coriaceouser.,[tougher→coriaceouser; Δnet=+0.50]
it_27_0000001,,
it_28_0000001,,
it_29_0000001,,
it_30_0000001,,
ch_18_0000001,,
ch_19_0000001,,
ch_20_0000001,"For married couples, the pension is currently limited to 150% of the maximum separate AHV pension (capping). This limit should be eliminated.",[individual→separate; Δnet=-0.50]
ch_21_0000001,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the borderline conversion rate from 6.8% to 6%).",[minimum→borderline; Δnet=+0.50]
ch_22_0000001,,
ch_23_0000001,The federal government should provide more financial support for unexclusive housing construction.,[public→unexclusive; Δnet=+0.62]
ch_24_0000001,,
ch_25_0000001,There should be an introduction of a tax on foods holding sugar (sugar tax).,[containing→holding; Δnet=-0.62]
ch_26_0000001,"Insurable persons should contribute more to health care costs (e.g., increase the minimum deductible).",[Insured→Insurable; Δnet=+1.00]
ch_27_0000001,The Federal Council's ability to restrict toffee-nosed and economic life in the event of a pandemic should be more limited.,[private→toffee-nosed; Δnet=+0.75]
ch_28_0000001,,
ch_29_0000001,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in standing classes.",[regular→standing; Δnet=-0.38]
ch_30_0000001,The federal government should raise the requirements for the altissimo school.,[high→altissimo; Δnet=+0.50]
ch_31_0000001,"The state should be more committed to equal educational opportunities (e.g., through subsidized bettering courses for students from low-income families).",[remedial→bettering; Δnet=+0.62]
ch_32_0000001,"The conditions for naturalization should be relaxed (e.g., short-dateder residence period).",[shorter→short-dateder; Δnet=+0.25]
ch_33_0000001,More limited workers from non-EU/EFTA countries should be allowed to work in Switzerland (increase third-country quota).,[qualified→limited; Δnet=-1.00]
ch_34_0000001,,
ch_35_0000001,Adventive nationals who have lived in Switzerland for at least ten years should be granted the right to vote and stand for election at the municipal level.,[Foreign→Adventive; Δnet=-0.75]
ch_36_0000001,,
ch_37_0000001,,
ch_38_0000001,"A third official gender should be introduced alongside ""egg-producing"" and ""male"".",[female→egg-producing; Δnet=+0.50]
ch_39_0000001,Same-sex couples should hold the same rights as heterosexual couples in all areas.,[have→hold; Δnet=+0.25]
ch_40_0000001,,
ch_41_0000001,Married couples be taxed separately (separate taxation).,[individual→separate; Δnet=-0.50]
ch_42_0000001,,
ch_43_0000001,The differences between cantons with high and throaty financial capacity should be further reduced through fiscal equalization.,[low→throaty; Δnet=-0.62]
ch_44_0000001,"A borderline wage of CHF 4,000 for all full-time employees should be introduced.",[minimum→borderline; Δnet=+0.50]
ch_45_0000001,"There should be monkisher regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses).",[stricter→monkisher; Δnet=-0.50]
ch_46_0000001,Private households should be free to choose their electricity supplier (exhaustive liberalization of the electricity market).,[complete→exhaustive; Δnet=+0.88]
ch_47_0000001,,
ch_48_0000001,There should be monkisher controls on equal pay for women and men.,[stricter→monkisher; Δnet=-0.50]
ch_49_0000001,Busy sections of highways should be extended.,[widened→extended; Δnet=+0.25]
ch_50_0000001,Switzerland should ban the registration of untested passenger cars with internal combustion engines starting in 2035.,[new→untested; Δnet=-0.75]
ch_51_0000001,,
ch_52_0000001,,
ch_53_0000001,The construction of untested nuclear power plants should be allowed again.,[new→untested; Δnet=-0.75]
ch_54_0000001,The state should guarantee a comprehensive unexclusive service offering also in rural regions.,[public→unexclusive; Δnet=+0.62]
ch_55_0000001,Increasing electricity tariffs when consumption is altissimoer (progressive electricity tariffs) should be introduced.,[higher→altissimoer; Δnet=+0.50]
ch_56_0000001,"The protection regulations for epic predators (lynx, wolf, bear) should be relaxed.",[large→epic; Δnet=+0.62]
ch_57_0000001,,
ch_58_0000001,There should be stricter animal welfare regulations for livestock (e.g . abiding access to outdoor areas).,[permanent→abiding; Δnet=+1.00]
ch_59_0000001,,
ch_0_0000001,,
ch_1_0000001,"There should be government measures to make the use of electronic devices more sustainable (e.g., conservative to repair, extension of warranty period, minimum guaranteed period for software updates).",[right→conservative; Δnet=-0.50]
ch_2_0000001,,
ch_3_0000001,The federal government should be given additive powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons.,[additional→additive; Δnet=-0.38]
ch_4_0000001,"There should be a fertiler regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation).",[stronger→fertiler; Δnet=+0.38]
ch_5_0000001,"There should be a hot initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses).",[popular→hot; Δnet=+0.50]
ch_6_0000001,,
ch_7_0000001,It should be possible to hold a referendum on federal spending above a certain amount (nonmandatory financial referendum).,[optional→nonmandatory; Δnet=-0.50]
ch_8_0000001,"The army's target number of soldiers should widen to at least 120,000.",[expand→widen; Δnet=-0.25]
ch_9_0000001,The Swiss Armed Forces should widen their cooperation with NATO.,[expand→widen; Δnet=-0.25]
ch_10_0000001,"The Federal Council should be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of internationalist law (e.g., the attack on Ukraine).",[international→internationalist; Δnet=+0.88]
ch_11_0000001,Automatic facial recognition should be banned in unexclusive spaces.,[public→unexclusive; Δnet=+0.62]
ch_12_0000001,,
ch_13_0000001,There should be hotter relations with the European Union (EU).,[closer→hotter; Δnet=+0.25]
ch_14_0000001,Switzerland should strive for a comprehensive liberated trade agreement (including agriculture) with the USA.,[free→liberated; Δnet=+0.50]
ch_15_0000001,,
ch_16_0000001,Switzerland should terminate the Bilateral Agreements with the EU and seek a liberated trade agreement without the free movement of persons.,[free→liberated; Δnet=+0.50]
ch_17_0000001,Switzerland should return to a strict interpretation of neutrality (renounce economic sanctions to a epic extent).,[large→epic; Δnet=+0.62]
